id,older,newer
68588,1908,
68589,1920,
68590,1913,
68591,1910,
68592,1884,
68593,1911,
68594,1914,
68595,1925,
68596,1895,
68597,1910,
68598,1942,
68599,1942,
68600,1953,
68601,1872,1884
68602,1919,
68603,1900,
68604,1923,
68605,1905,
68606,1919,
68607,1809,
68608,1809,
68609,1934,1935
68610,1919,
68611,1925,
68612,1820,
68613,1879,
68614,1926,
68615,1953,
68616,1963,
68617,1847,
68618,1887,
68619,1907,
68620,1906,
68621,1919,
68622,1913,
68623,1902,
68624,1917,
68625,1872,1884
68626,1919,
68627,1919,
68628,1920,
68629,1924,
68630,1899,1900
68631,1921,
68632,1922,
68633,1885,
68634,1922,
68635,1906,
68636,1921,
68637,1925,
68638,1895,
68639,1911,
68640,1889,
68641,1903,1917
68642,1925,
68643,1882,
68644,1911,
68645,1911,
68646,1893,
68647,1924,
68648,1925,
68649,1805,
68650,1908,
68651,1898,
68652,1920,
68653,1836,
68654,1917,
68655,1896,
68656,1901,
68657,1898,
68658,1953,
68659,1942,
68660,1924,1930
68661,1926,1974
68662,1858,
68663,1913,
68664,1906,
68665,1915,
68666,1904,
68667,1906,
68668,1926,1974
68669,1947,
68670,1923,
68671,1867,
68672,1832,
68673,1872,1884
68674,1953,
68675,1902,
68676,1924,
68677,1862,
68678,1910,
68679,1921,
68680,1886,
68681,1924,
68682,1911,
68683,1906,
68685,1910,
68686,1956,
68687,1888,
68688,1896,
68689,1896,
68690,1892,
68691,1923,
68692,1924,
68693,1875,
68694,1893,
68695,1908,
68696,1908,
68697,1903,
68698,1900,
68699,1872,1884
68700,1947,
68701,1922,
68702,1897,
68703,1904,
68704,1724,
68705,1878,
68706,1900,
68707,1942,
68708,1915,
68709,1908,
68710,1911,
68711,1895,
68712,1903,
68713,1896,
68714,1873,
68715,1893,
68716,1920,
68717,1907,
68718,1942,
68719,1924,
68720,1911,1912
68721,1904,
68722,1918,
68723,1898,
68724,1794,
68725,1892,
68726,1942,
68727,1926,
68728,1796,
68729,1925,
68730,1956,
68731,1845,
68732,1880,
68733,1947,
68734,1926,
68735,1922,
68736,1917,
68737,1914,
68738,1913,1919
68739,1953,
68740,1912,
68741,1923,
68742,1771,
68743,1953,
68744,1908,
68745,1924,
68746,1920,
68747,1887,
68748,1953,
68749,1920,
68750,1912,
68751,1889,
68752,1847,
68753,1953,
68755,1914,
68756,1772,
68757,1856,
68758,1903,
68759,1910,
68760,1901,
68761,1920,
68762,1915,
68763,1904,
68765,1892,
68766,1883,
68767,1921,
68768,1876,
68769,1904,
68770,1914,
68771,1903,
68772,1816,
68774,1919,
68775,1907,
68777,1913,
68778,1923,
68779,1906,1907
68780,1849,
68781,1890,
68782,1902,
68783,1956,
68784,1914,
68785,1836,
68786,1906,
68787,1907,
68788,1919,
68789,1883,
68790,1883,
68791,1918,
68792,1924,
68793,1917,
68794,1950,
68795,1915,
68796,1906,
68797,1914,
68798,1907,
68800,1921,
68802,1920,
68803,1950,
68804,1923,
68805,1915,
68806,1910,
68807,1914,
68808,1910,
68809,1912,
68810,1917,
68811,1931,1969
68812,1874,1875
68813,1893,
68814,1919,
68815,1937,
68816,1911,
68817,1903,
68818,1926,
68819,1897,
68820,1922,
68821,1908,
68822,1923,
